date,next_date,tenor,regime,forecast_p10,forecast_p50,forecast_p90,realized,in_band
2010-04-05,2010-04-06,USGG2YR Index,2,1.1514706253857285,1.2422820673370643,1.337400086051149,1.136,False
2010-04-05,2010-04-06,USGG3YR Index,2,1.6544236247816098,1.7514616991460756,1.851541837211942,1.7034,True
2010-04-05,2010-04-06,USGG5YR Index,2,2.5218556724511525,2.6293415024636015,2.7420773938343355,2.6956,True
2010-04-05,2010-04-06,USGG7YR Index,2,3.216715744035362,3.335906222671062,3.456608218045783,3.4019,True
2010-04-05,2010-04-06,USGG10YR Index,2,3.9942561570734902,4.129885642502742,4.261394452917288,3.9505,False
2010-04-05,2010-04-06,USGG30YR Index,2,4.70453657833374,4.82747944304169,4.947269586498925,4.8324,True
2010-04-06,2010-04-07,USGG2YR Index,2,1.1142158907927775,1.2091375001981124,1.3040351025051302,1.048,False
2010-04-06,2010-04-07,USGG3YR Index,2,1.6163599841253289,1.7175911884838189,1.817655714306038,1.6642,True
2010-04-06,2010-04-07,USGG5YR Index,2,2.471706983466668,2.588923619823876,2.700860987622995,2.5976,True
2010-04-06,2010-04-07,USGG7YR Index,2,3.166592013145941,3.295906537799511,3.4169640113610735,3.3105,True
2010-04-06,2010-04-07,USGG10YR Index,2,3.943384702332609,4.088934483208826,4.223514109607111,3.8531,False
2010-04-06,2010-04-07,USGG30YR Index,2,4.696572932636192,4.82132348587638,4.938822837952948,4.7377,True
2010-04-07,2010-04-08,USGG2YR Index,2,1.0499994011075313,1.138154401418772,1.2329812548763486,1.0641,True
2010-04-07,2010-04-08,USGG3YR Index,2,1.546784088475461,1.6410132502775923,1.7367822057821352,1.6856,True
2010-04-07,2010-04-08,USGG5YR Index,2,2.3986678005821376,2.5080906982225013,2.6089028300317816,2.6348,False
2010-04-07,2010-04-08,USGG7YR Index,2,3.0837761484073685,3.2054422782367933,3.318300478277626,3.3486,False
2010-04-07,2010-04-08,USGG10YR Index,2,3.8506393199251128,3.991079453533335,4.115892819198085,3.8901,True
2010-04-07,2010-04-08,USGG30YR Index,2,4.597193899238778,4.726279414658672,4.84422710799702,4.7527,True
2010-04-08,2010-04-09,USGG2YR Index,2,1.0615850458913612,1.1605728142874256,1.2501254662817913,1.0563,False
2010-04-08,2010-04-09,USGG3YR Index,2,1.5656468697067938,1.667400142644143,1.7644314374187873,1.6856,True
2010-04-08,2010-04-09,USGG5YR Index,2,2.4261795436168887,2.539235077253813,2.6464860131645946,2.6248,True
2010-04-08,2010-04-09,USGG7YR Index,2,3.115618024040049,3.242310061829463,3.3629265471557366,3.336,True
2010-04-08,2010-04-09,USGG10YR Index,2,3.8923869057123723,4.032148122256913,4.166462463943336,3.8825,False
2010-04-08,2010-04-09,USGG30YR Index,2,4.618995519055033,4.744842633134452,4.857625761621767,4.7397,True
2010-04-09,2010-04-12,USGG2YR Index,2,1.057143326078233,1.1540892424660676,1.2506563550509298,1.0322,False
2010-04-09,2010-04-12,USGG3YR Index,2,1.5616685556163998,1.6619855000571484,1.7593216743274167,1.6482,True
2010-04-09,2010-04-12,USGG5YR Index,2,2.4248421100841697,2.5331150274828875,2.6401353164693244,2.5876,True
2010-04-09,2010-04-12,USGG7YR Index,2,3.115719083243512,3.236612746590184,3.3554701128885758,3.2903,True
2010-04-09,2010-04-12,USGG10YR Index,2,3.89373478567998,4.024006851336265,4.156420786655312,3.8417,False
2010-04-09,2010-04-12,USGG30YR Index,2,4.602942194841026,4.731863530883359,4.849438274194485,4.6961,True
2010-04-12,2010-04-13,USGG2YR Index,2,1.031460954953931,1.126482041176185,1.2147533735095322,1.0484,True
2010-04-12,2010-04-13,USGG3YR Index,2,1.5320132383138434,1.6292639206615092,1.7261432985756389,1.6535,True
2010-04-12,2010-04-13,USGG5YR Index,2,2.3866212420676005,2.4941537425792726,2.600609482649407,2.5741,True
2010-04-12,2010-04-13,USGG7YR Index,2,3.0701498126007922,3.192492817644812,3.315140056189613,3.265,True
2010-04-12,2010-04-13,USGG10YR Index,2,3.8414235948176394,3.9769268684996173,4.114044722555546,3.8204,False
2010-04-12,2010-04-13,USGG30YR Index,2,4.563677249727714,4.6872878276135035,4.805817984134692,4.6813,True
2010-04-13,2010-04-14,USGG2YR Index,2,1.040451589605891,1.1346787088100565,1.2307257999632362,1.0484,True
2010-04-13,2010-04-14,USGG3YR Index,2,1.5340329255979115,1.6311873336558187,1.7303151008671505,1.6589,True
2010-04-13,2010-04-14,USGG5YR Index,2,2.378570542086308,2.484309127348973,2.5919336236913697,2.5978,False
2010-04-13,2010-04-14,USGG7YR Index,2,3.055832154663952,3.172972223120341,3.289139857898111,3.303,False
2010-04-13,2010-04-14,USGG10YR Index,2,3.8150913920491663,3.946911219559384,4.0750572271894105,3.8593,True
2010-04-13,2010-04-14,USGG30YR Index,2,4.557576421274523,4.669091578763311,4.789866194706487,4.7298,True
2010-04-14,2010-04-15,USGG2YR Index,2,1.0403868571449855,1.1339309824684993,1.2291289919363824,1.008,False
2010-04-14,2010-04-15,USGG3YR Index,2,1.5378064605394388,1.638910850050554,1.7378230440574953,1.6106,True
2010-04-14,2010-04-15,USGG5YR Index,2,2.3947816641859774,2.505908141806297,2.6180006325207685,2.5437,True
2010-04-14,2010-04-15,USGG7YR Index,2,3.0851936833342766,3.203554920566249,3.330277928364944,3.265,True
2010-04-14,2010-04-15,USGG10YR Index,2,3.8577361873896847,3.9887920909415904,4.132456001437211,3.8321,False
2010-04-14,2010-04-15,USGG30YR Index,2,4.602053896448564,4.71661566950981,4.836509496900126,4.7149,True
