date,next_date,tenor,regime,forecast_p10,forecast_p50,forecast_p90,realized,rmse,mae,crps,pit,in_band
2010-03-25,2010-03-26,USGG2YR Index,2,3.5873972889395573,3.622769379521378,3.6575282221019263,1.0396,2.583324806835336,2.583324806835336,2.571671526125523,0.0,False
2010-03-25,2010-03-26,USGG3YR Index,2,3.845944703899633,3.8804764206164895,3.9141014045043088,1.6136,2.2669134756996616,2.2669134756996616,2.25483387969034,0.0,False
2010-03-25,2010-03-26,USGG5YR Index,2,4.303221667563076,4.335934579807246,4.367793624670606,2.5871,1.748856492551631,1.748856492551631,1.7374857388914913,0.0,False
2010-03-25,2010-03-26,USGG7YR Index,2,4.689242734106513,4.720465958995119,4.750687250128291,3.3105,1.4098597720897308,1.4098597720897308,1.399606867012043,0.0,False
2010-03-25,2010-03-26,USGG10YR Index,2,5.154983670584868,5.183977316763264,5.211354172768361,3.8468,1.336817735599741,1.336817735599741,1.328347758774647,0.0,False
2010-03-25,2010-03-26,USGG30YR Index,2,6.225070178336396,6.242862413434377,6.259804756178399,4.7457,1.4968952438281962,1.4968952438281962,1.4898888951843503,0.0,False
2010-03-26,2010-03-29,USGG2YR Index,3,0.21332845091470762,1.817356907443171,3.3237713553738923,1.0396,0.7596013720179646,0.7596013720179646,0.4339607979434845,0.201,True
2010-03-26,2010-03-29,USGG3YR Index,3,0.5240499648796407,2.1034327749643964,3.5890341129282572,1.6192,0.46862316462122977,0.46862316462122977,0.27580534545252855,0.299,True
2010-03-26,2010-03-29,USGG5YR Index,3,1.0864830181257723,2.6213664704213016,4.0609716079666525,2.5972,0.0056313416481996725,0.0056313416481996725,0.24415986702421755,0.486,True
2010-03-26,2010-03-29,USGG7YR Index,3,1.576043174330293,3.0650211733576684,4.462538087146009,3.3256,0.28199924104138985,0.28199924104138985,0.2634545286674226,0.634,True
