Fed_Shock_bp,Tenor,p5,p50,p95,mean,std
-100,UST_2,-1.10213430465575,2.1415420498008677,5.307603035522847,2.1412456924465415,1.9456064233435777
-100,UST_3,-0.8146170672531761,2.2971042886703286,5.331192330895983,2.297648718354756,1.8669553722717462
-100,UST_5,-0.29106453809364424,2.5676083178521445,5.350215934704012,2.572227916702148,1.7191105258852415
-100,UST_7,0.17005297767889066,2.7957162896667094,5.362756406174262,2.801438998095136,1.5831576006266388
-100,UST_10,0.7402804930354591,3.0848846801431837,5.346186823377733,3.073096168456587,1.3998722576884974
-100,UST_30,2.4652517803554934,3.6152990306360193,4.755147427523571,3.607991628467213,0.6953660834795692
-50,UST_2,-1.2834577385256214,1.9602186159310016,5.1262796016529775,1.9599222585766745,1.9456064233435777
-50,UST_3,-0.9829182714866423,2.1288030844368637,5.162891126662517,2.129347514121289,1.8669553722717462
-50,UST_5,-0.4349526388712323,2.423720217074556,5.206327833926427,2.428339815924557,1.7191105258852415
-50,UST_7,0.04857146291801204,2.674234774905827,5.241274891413378,2.6799574833342534,1.5831576006266388
-50,UST_10,0.6490461078203806,2.993650294928111,5.2549524381626584,2.981861783241511,1.3998722576884974
-50,UST_30,2.5042350445142616,3.6542822947947906,4.794130691682341,3.6469748926259826,0.6953660834795692
0,UST_2,-1.4647811723954935,1.7788951820611314,4.944956167783115,1.7785988247068063,1.9456064233435777
0,UST_3,-1.1512194757201104,1.9605018802033967,4.994589922429052,1.9610463098878235,1.8669553722717462
0,UST_5,-0.5788407396488272,2.2798321162969613,5.062439733148836,2.2844517151469663,1.7191105258852415
0,UST_7,-0.07291005184287375,2.552753260144944,5.119793376652495,2.5584759685733705,1.5831576006266388
0,UST_10,0.557811722605309,2.9024159097130338,5.163718052947583,2.890627398026435,1.3998722576884974
0,UST_30,2.543218308673031,3.6932655589535597,4.83311395584111,3.685958156784752,0.6953660834795692
50,UST_2,-1.6461046062653557,1.597571748191264,4.763632733913243,1.5972753908369388,1.9456064233435777
50,UST_3,-1.3195206799535737,1.7922006759699325,4.8262887181955865,1.7927451056543573,1.8669553722717462
50,UST_5,-0.72272884042641,2.1359440155193727,4.918551632371242,2.140563614369375,1.7191105258852415
50,UST_7,-0.19439156660375753,2.4312717453840618,4.998311861891611,2.436994453812488,1.5831576006266388
50,UST_10,0.46657733739023216,2.8111815244979583,5.072483667732508,2.7993930128113598,1.3998722576884974
50,UST_30,2.5822015728318006,3.7322488231123288,4.872097219999876,3.724941420943521,0.6953660834795692
100,UST_2,-1.8274280401352208,1.416248314321391,4.582309300043377,1.4159519569670715,1.9456064233435777
100,UST_3,-1.487821884187045,1.6238994717364696,4.6579875139621185,1.6244439014208916,1.8669553722717462
100,UST_5,-0.8666169412040077,1.9920559147417811,4.774663531593651,1.9966755135917846,1.7191105258852415
100,UST_7,-0.31587308136463604,2.3097902306231797,4.876830347130734,2.315512939051605,1.5831576006266388
100,UST_10,0.37534295217516017,2.7199471392828865,4.981249282517432,2.7081586275962835,1.3998722576884974
100,UST_30,2.6211848369905715,3.7712320872710974,4.9110804841586475,3.7639246851022907,0.6953660834795692
